,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
46,Virginia (B),3:35.74,"Ezumah, Lavender, Fabrizio, Wright",ACC Outdoor Track & Field Championships,2014-04-17,4x400,W
47,South Carolina (J),3:35.81,"Johnson, Brockington, Harris, Bellamy",Penn Relays,2014-04-24,4x400,W
48,Alabama (E),3:35.90,"Chandler, Kimpel, Gholston, Malcolm",SEC Outdoor Championship,2014-05-15,4x400,W
49,UTEP (B),3:35.90,"Jackson, Stiverne, James, Uwakwe",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
49,Miami (E),3:35.90,"Stewart, Cordell, Wimbley, Glades",ACC Outdoor Track & Field Championships,2014-04-17,4x400,W
51,UCF (D),3:35.99,"Cartwright, Clayton, Jean-Claude, Charles",Florida Relays,2014-04-03,4x400,W
52,Iowa (C),3:36.09,"Guster, Watts, Hernandez, Kwaza",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
52,South Carolina (H),3:36.09,"Holmes, Brockington, Haith, Harris",Florida Relays,2014-04-03,4x400,W
54,South Carolina (A),3:36.11,"Bellamy, Haith, Bandy, Holmes",Shamrock Invitational 2014,2014-03-20,4x400,W
55,Duke (D),3:36.18,"Hansson, Kopp, Farley, Kerpon",Virginia Challenge,2014-05-09,4x400,W
56,North Dakota St. (B),3:36.29,"Stratioti, Milbrath, Heinze, Tingelstad",Stanford Invitational,2014-04-04,4x400,W
57,Nebraska (E),3:36.35,"Weekes, Baird, Andrews, Grooters",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,W
57,Connecticut (A),3:36.35,"Emerson, Smith-Jenkins, Taft, Dismuke",FSU Relays (College/Open),2014-03-21,4x400,W
59,Iowa State (A),3:36.39,"White, Okoro, Christensen, Shoeman",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
60,Connecticut (G),3:36.41,"Daley, Dismuke, Smith-Jenkins, Joseph",Penn Relays,2014-04-24,4x400,W
61,Arizona (C),3:36.51,"Hailey, Gray, Pridgett, Romero",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x400,W
62,Miami (G),3:36.66,"Wimbley, Cordell, Stewart, Moore",LSU Invitational,2014-05-03,4x400,W
63,Kansas State (D),3:36.73,"Gaskin, Twiss, Matthews, Gamble",Mt. SAC Relays,2014-04-17,4x400,W
64,Harvard (A),3:36.83,"Franklin, Miller, Modesett, Scott",Penn Relays,2014-04-24,4x400,W
64,LSU (A),3:36.83,"Chase, Tracey, Brown, Jones",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
66,George Mason (E),3:36.88,"Williams, Graham, Briscoe, Barron",Florida Relays,2014-04-03,4x400,W
67,Arkansas (G),3:36.91,"Kemp, Harper, Swinton, Williams",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x400,W
68,Kansas State (F),3:37.06@,"Gaskin, Gamble, Matthews, Kolmer",Big 12 Outdoor Track and Field Championships,2014-05-16,4x400,W
68,Cornell (F),3:37.06,"Kolliesuah, Airewele, Woodford, Akpaete",Ivy League Outdoor Track & Field Championships,2014-05-10,4x400,W
70,East Carolina (A),3:37.18,"Hawkins, Collins, Minkins, Goggins",Aggie Last Chance,2014-05-11,4x400,W
71,UTEP (A),3:37.23,"Jackson, Stiverne, Pearson, Uwakwe",Conference USA Outdoor Track & Field Championships,2014-05-15,4x400,W
72,Clemson (A),3:37.28,"Fluker, Wesh, Cousar, James",Charlotte 49er Classic,2014-03-20,4x400,W
73,Louisiana Tech (B),3:37.46,"Craddock, Blount, Henderson, Bailey",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
74,Tennessee (D),3:37.53,"Brown, Majors, Ruff, Jackson",Florida Relays,2014-04-03,4x400,W
75,LSU (F),3:37.59,"Jones, Tracey, Richardson, Chase",SEC Outdoor Championship,2014-05-15,4x400,W
76,Tennessee (I),3:37.69,"Ruff, Majors, Yarnell, Jackson",SEC Outdoor Championship,2014-05-15,4x400,W
77,Iowa (B),3:37.73,"Guster, Watts, Holder, Kwaza",Mt. SAC Relays,2014-04-17,4x400,W
78,Kentucky (H),3:37.84,"Bryant, Whaley, Hackworth, Adair",Penn Relays,2014-04-24,4x400,W
79,TCU (A),3:37.89,"Terry, Jones, Peters, Thomas",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
80,Rutgers (E),3:37.92,"Famble, Ugboaja, Gillon, Farquharson",The American Outdoor Track & Field Championships,2014-05-02,4x400,W
81,LSU (E),3:37.95,"Jones, Tracey, Jupiter, Chase",LSU Invitational,2014-05-03,4x400,W
82,Rutgers (C),3:37.97,"Farquharson, Ruth, Ugboaja, Famble",Georgia Spec Towns National Team Invitational,2014-04-11,4x400,W
83,LSU (C),3:37.99,"Jones, Tracey, Martin, Chase",Miami Hurricane Alumni Invitational,2014-04-12,4x400,W
84,Stephen F. Austin (A),3:38.12,"Hatchett, Jefferson, Redic, Simpson",Alabama Relays,2014-03-20,4x400,W
85,St. John's (A),3:38.18,"Garcia, Mooney, Presley, Allen",Penn Relays,2014-04-24,4x400,W
86,Alabama (C),3:38.29,"Sims, Kimpel, Gholston, Malcolm",Alabama vs. Mississippi Border Clash,2014-04-11,4x400,W
87,Miami (C),3:38.45,"Moore, Cordell, Stewart, Wright",Miami Invitational,2014-03-29,4x400,W
88,Western Carolina (A),3:38.53,"Archie-McMillan, Emrick, Elliott, Carter",Georgia Tech Invitational,2014-05-16,4x400,W
89,Duke (A),3:38.60,"Hansson, Kopp, Roper, Kerpon",2014 Clyde Littlefield Texas Relays,2014-03-26,4x400,W
90,Miami (H),3:38.72,"Stewart, Glades, Moore, Tate",Georgia Tech Invitational,2014-05-16,4x400,W
91,Boston U. (B),3:38.77,"Wiley, Levy, Maynard, Wood",Penn Relays,2014-04-24,4x400,W
92,Boston U. (E),3:38.82,"Wiley, Levy, Parris, Wood",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x400,W
93,USC (D),3:38.86,"Liverpool, Stepter, Iuel, Pettigrew",USC TroJan Invitational,2014-03-22,4x400,W
94,Iowa State (C),3:38.89@,"White, Okoro, Okoro, Shoeman",Big 12 Outdoor Track and Field Championships,2014-05-16,4x400,W
95,Cal St. Northridge (E),3:38.90,"Lambert, Veale, Vallery, Dirks",Big West Outdoor Track and Field Championship,2014-05-16,4x400,W
96,Ohio State (A),3:39.13,"Johnson, Barnes, Franklin, Walker",Big Ten Outdoor Track & Field Championships,2014-05-16,4x400,W
97,Kentucky (A),3:39.18,"Adair, Saunders, Booker, Whaley",2014 Baldy Castillo Invitational,2014-03-21,4x400,W
98,Kentucky (I),3:39.21,"Nugent, Whaley, Booker, Saunders",Penn Relays,2014-04-24,4x400,W
99,Fresno State (A),3:39.29@,"Johnson, Sears, Omawahleh, Johnson",Mountain West Outdoor Track & Field Championships,2014-05-14,4x400,W
99,Georgetown (D),3:39.29,"Cox, King, Nkenke, Doaty",BIG EAST Outdoor Track & Field Championships,2014-05-09,4x400,W
1,Oregon (F),3:24.72,"Guster, Rogers, Dunmore, Stevens",Penn Relays,2017-04-27,4x400,W
2,Oregon (C),3:26.07,"Waller, Guster, Dunmore, Rogers",Florida Relays,2017-03-30,4x400,W
3,USC (B),3:26.27,"Pettigrew, Iuel, Hill, Ellis",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
4,Florida (A),3:27.33,"Sharpe, Barnett, Gause, Jefferson",Florida Relays,2017-03-30,4x400,W
5,Texas A&M (K),3:27.72,"Desrosiers, Baird, Fray, Reed",SEC Relays,2017-04-28,4x400,W
6,Miami (D),3:27.87,"Runia, Ellis, Stiverne, Wimbley",Florida Relays,2017-03-30,4x400,W
7,Oregon (D),3:27.98,"Rogers, Guster, Waller, Horsley",Mt. SAC Relays,2017-04-13,4x400,W
8,Alabama (G),3:28.65,"Roberson, Darius, Gause, Williams",SEC Relays,2017-04-28,4x400,W
9,Ohio State (D),3:29.04,"Hannan, Winters, Barnes, Barrie",Florida Relays,2017-03-30,4x400,W
10,LSU (C),3:29.10,"Misher, Martin, Payne, Jones",LSU Alumni Gold,2017-04-22,4x400,W
11,Texas (B),3:29.13,"Jones, Gordon, Douglas, Golden",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,W
12,Texas A&M (D),3:29.18,"Baird, Carter, Desrosiers, Fray",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
13,USC (G),3:29.52,"Pettigrew, Iuel, Cockrell, Ellis",Pac-12 Championships,2017-05-13,4x400,W
14,Kentucky (C),3:30.24,"Gray, Seymour, Carter, Clarke",Florida Relays,2017-03-30,4x400,W
15,Baylor (D),3:30.34,"Powell, Hawn, Bennett, De Souza",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,W
16,Alabama (H),3:30.94,"Gholston, Gause, Darius, Williams",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
17,LSU (A),3:31.08,"Misher, Hall, Payne, Jones",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
18,Oklahoma (A),3:31.90,"Pipi, Roberson, Demerson, Baker",Penn Relays,2017-04-27,4x400,W
19,Arkansas (G),3:32.11,"Parker, Harper, Birch, Watson",SEC Relays,2017-04-28,4x400,W
20,Oregon (G),3:32.20,"Waller, Rogers, Feldmeier, Horsley",Pac-12 Championships,2017-05-13,4x400,W
21,Iowa (E),3:32.37,"Guillory, Brown, Hernandez, Champe",Florida Relays,2017-03-30,4x400,W
22,Virginia Tech (A),3:32.57,"Blanden, Tchume, McKiver, Bush",ACC Outdoor Track & Field Championships,2017-05-12,4x400,W
23,Clemson (J),3:32.77,"James, Williams, Warner, Thomas",ACC Outdoor Track & Field Championships,2017-05-12,4x400,W
24,Florida (B),3:32.82,"Johnson, Barnett, Gause, Sharpe",2017 Horned Frog Invitational,2017-04-15,4x400,W
25,Texas A&M (H),3:32.88,"Carter, Desrosiers, Baird, Reed",Jim Bush Collegiate Invitational,2017-04-15,4x400,W
26,Baylor (E),3:33.03,"Bennett, Hawn, Horton, De Souza",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
27,Purdue (A),3:33.13,"Mitchell, Abbott, Black, Thomas",Big Ten Outdoor Championships,2017-05-12,4x400,W
28,Alabama (E),3:33.31,"Roberson, Gholston, Gause, Williams",Jim Bush Collegiate Invitational,2017-04-15,4x400,W
29,South Carolina (F),3:33.68,"Holmes, Bellamy, Brockington, Lyles",USC Open,2017-04-22,4x400,W
30,Miami (G),3:33.69,"Runia, Ellis, Gonzalez, Stiverne",UF Tom Jones Memorial,2017-04-28,4x400,W
31,Mid. Tenn. State (A),3:33.99,"Amponsah, Abu, Odia, Egbeniyi",Penn Relays,2017-04-27,4x400,W
32,Purdue (D),3:34.16,"Black, Cox, Tromble, Thomas",LSU Battle on the Bayou,2017-04-08,4x400,W
33,Boston U. (A),3:34.30,"Adesanya, Fowlkes, Parris, Levy",Penn Relays,2017-04-27,4x400,W
34,Purdue (I),3:34.31,"Mitchell, Thomas, Cox, Abbott",2017 Drake Relays presented by Hy-Vee,2017-04-26,4x400,W
35,Oklahoma (C),3:34.58,"Pipi, Mukes, Demerson, Baker",Penn Relays,2017-04-27,4x400,W
35,Pittsburgh (J),3:34.58,"Harvey, Newkirk, Leaks, Garland",ACC Outdoor Track & Field Championships,2017-05-12,4x400,W
37,TCU (B),3:34.61,"Terry, Emeodi, Aitken, Heard",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,W
38,Tennessee (B),3:34.93,"Collins, McCoy, Dyer, White",Tennessee Relays,2017-04-06,4x400,W
39,Texas A&M (B),3:35.12,"Desrosiers, Carter, Owens, Baird",Roadrunner Invitational,2017-03-23,4x400,W
40,Clemson (F),3:35.17,"James, Warner, Farrow, George",LSU Alumni Gold,2017-04-22,4x400,W
41,Kansas (D),3:35.45,"Kuykendoll, Adams, Newell, Montgomery",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,W
42,Pittsburgh (B),3:35.51,"Harvey, Newkirk, Ismail, Garland",Miami Hurricane Alumni Invitational,2017-04-07,4x400,W
42,Kentucky (D),3:35.51,"Saunders, Carter, Clarke, Seymour",Texas Invitational,2017-04-14,4x400,W
44,Purdue (C),3:35.55,"Mitchell, Cox, Black, Abbott",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
45,Kentucky (B),3:35.56,"Saunders, Hitchcock, Clarke, Gray",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
46,Duke (D),3:35.57,"Lowe, Kerr, Murphy, Kopp",ACC Outdoor Track & Field Championships,2017-05-12,4x400,W
47,Clemson (I),3:35.60,"James, Williams, Farrow, Warner",Penn Relays,2017-04-27,4x400,W
48,Oregon (B),3:35.73,"O'Connor, Johnson, Feldmeier, Horsley",Florida Relays,2017-03-30,4x400,W
49,Texas Tech (E),3:35.80,"Smith, Brown, Limp, Frank",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
50,Purdue (F),3:35.81,"Miller, Cox, Black, Mitchell",2017 Louisville Invitational,2017-04-14,4x400,W
51,Arkansas (J),3:36.13,"Parker, Harper, McCallister, Watson",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
52,Nebraska (H),3:36.25@,"Griggs, Barge, Peskova, Jones",Texas Tech Red Raider Shoot-Out,2017-04-28,4x400,W
53,North Dakota State (B),3:36.35,"Milbrath, Woods, Andrushko, Jackson",Beach Invitational,2017-04-14,4x400,W
54,Washington (D),3:36.50,"Diggs, Apostol, Mills, Anuakpado",Mt. SAC Relays,2017-04-13,4x400,W
55,Alabama (B),3:36.69,"Pate, Darius, Gause, Roberson",Crimson Tide Invitational,2017-04-07,4x400,W
56,Arkansas (E),3:36.76,"Harper, Swinton, Watson, Stumbaugh",Baylor Invitational,2017-04-08,4x400,W
57,Clemson (E),3:36.79,"James, Warner, Thomas, George",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
58,Baylor (I),3:36.85,"Powell, Hawn, Horton, De Souza",Michael Johnson Invitational,2017-04-22,4x400,W
59,San Diego St. (C),3:36.86@,"Lea, Barrow, Knight, McPherson",Mountain West Outdoor Track & Field Championships,2017-05-10,4x400,W
60,Cincinnati (D),3:36.87,"Bisiolu, Lattimore, Gesicki, Robinson",The American Outdoor Track & Field Championships,2017-05-12,4x400,W
61,Kansas State (H),3:36.94,"McKenzie, Mitchell, Guerrier, Schultz",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,W
62,North Carolina (C),3:37.00,"Dixon, Christian, Dunston, McNeill",ACC Outdoor Track & Field Championships,2017-05-12,4x400,W
62,Missouri (C),3:37.00,"Farquharson, Jackson, Wells, Thames",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
64,Texas Tech (G),3:37.05,"Frank, Limp, Parker, Brown",38th Sun Angel Classic,2017-04-06,4x400,W
65,Stanford (A),3:37.14,"Mongiovi, Crunkleton-Wils, Labrie-Smith, Baker",Stanford Invitational,2017-03-31,4x400,W
66,Texas (E),3:37.29,"Jones, Golden, Miller, Abdul-Rashid",LSU Alumni Gold,2017-04-22,4x400,W
67,UCF (B),3:37.32,"Crear, Jocelyn, Cooley, Chamberlain",The American Outdoor Track & Field Championships,2017-05-12,4x400,W
68,Baylor (F),3:37.50,"Powell, King, Toliver, De Souza",Baylor Invitational,2017-04-08,4x400,W
69,UTSA (A),3:37.52,"Taylor, Arinze, Andres, Patterson",Mt. SAC Relays,2017-04-13,4x400,W
70,Penn State (C),3:37.59,"Lester, Rhodes, Davis, Rivers",Penn Relays,2017-04-27,4x400,W
71,Arizona (D),3:37.61,"Gajda, Andrews, Gray, Watson",Jim Click Shootout,2017-04-08,4x400,W
72,Harvard (A),3:37.73,"Hughes, Thomas, Joiner, Miller",Florida Relays,2017-03-30,4x400,W
73,Western Michigan (H),3:37.88,"Dotson, Hufnagel, Anderson, Gaines",Penn Relays,2017-04-27,4x400,W
74,Penn (F),3:37.94,"Ene, Solan, Schneider, Brown-Soler",Florida Relays,2017-03-30,4x400,W
75,Texas A&M (E),3:38.03,"Ivy, Baird, Carter, Owens",38th Sun Angel Classic,2017-04-06,4x400,W
76,UTEP (G),3:38.14@,"Bennett, Uwakwe, Adams, Benjamin",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,4x400,W
77,UCF (C),3:38.17,"Crear, Jocelyn, Chamberlain",Florida Relays,2017-03-30,4x400,W
78,Clemson (C),3:38.27,"Thomas, Farrow, Warner, George",Miami Hurricane Collegiate Invitational,2017-03-25,4x400,W
79,Ole Miss (A),3:38.31,"Allen, Carbo, Newsome, Mattix",Florida Relays,2017-03-30,4x400,W
79,Miami (E),3:38.31,"Leacock, Ellis, Gonzalez, Ford",Miami Hurricane Alumni Invitational,2017-04-07,4x400,W
81,South Carolina (C),3:38.39,"Evans, Holmes, Lyles, Brockington",Weems Baskin Invitational,2017-03-24,4x400,W
82,USC (A),3:38.55,"Iuel, Cockrell, Richardson, Smith",Trojan Invitational,2017-03-17,4x400,W
83,Tulsa (B),3:38.56,"Jones, Lyons, Hall, Birmmingham",The American Outdoor Track & Field Championships,2017-05-12,4x400,W
84,Duke (B),3:38.70,"Lowe, Kopp, Kerr, Price",Beach Invitational,2017-04-14,4x400,W
85,Ohio State (G),3:38.74,"Winters, Wilson, Barrie, Weber",2017 Drake Relays presented by Hy-Vee,2017-04-26,4x400,W
86,Georgia (C),3:38.84,"Zoller, Artis, Reid, Ransby",Spec Towns Invitational,2017-04-07,4x400,W
87,Texas A&M (A),3:38.86,"Baird, Thompson, Carter, Lawless",Baldy Castillo Invitational,2017-03-17,4x400,W
88,UNLV (F),3:38.89,"Chitwood, Austin, Davis, Hudspeth",Stanford Invitational,2017-03-31,4x400,W
89,Georgia (A),3:39.11,"Reid, Artis, Ransby, Tanner",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,W
90,Oregon (A),3:39.13,"Waller, Horsley, O'Connor, Jackson",Florida Relays,2017-03-30,4x400,W
91,Memphis (E),3:39.15,"Chavez, Chatman, Lansden, Holt",The American Outdoor Track & Field Championships,2017-05-12,4x400,W
92,Northwestern St. (A),3:39.16,"Gordon, Jones, Jackson, Style",Tom Tellez Invitational,2017-05-05,4x400,W
93,Miss State (C),3:39.27,"Lewis, Smith, Mosley, Sims",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
94,Akron (C),3:39.34,"Green, Siefring, Gnafaki, Chatman",LSU Alumni Gold,2017-04-22,4x400,W
95,UNLV (I),3:39.37@,"Chitwood, Austin, Hudspeth, Hudspeth",Mountain West Outdoor Track & Field Championships,2017-05-10,4x400,W
96,Tennessee (C),3:39.44,"White, McCoy, Broadwater, Dyer",SEC Outdoor Track & Field Championships,2017-05-11,4x400,W
97,Cal St. Northridge (D),3:39.45,"Bamberg, Veale, Rodgers, Lambert",2017 Big West Track & Field Championships,2017-05-12,4x400,W
98,Western Kentucky (B),3:39.46@,"Smith, Alzola, Terrell, Valentine",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,4x400,W
99,Northern Arizona (B),3:39.52,"Malone, Taylor, Carruth, Fotinos",2017 Big Sky Outdoor Track & Field Championships,2017-05-10,4x400,W
100,Minnesota (I),3:39.53,"Jinadu, Egwim, Hawkins, Smits",Big Ten Outdoor Championships,2017-05-12,4x400,W
